w1,w2
able,lose
able,loses
able,loved
able,lured
able,marry
able,mated
able,meant
able,meets
able,mend
able,merge
able,mined
able,mired
able,mourn
able,moved
able,mused
able,must
able,named
able,obey
able,obeys
able,occur
able,ofhis
able,omit
able,omits
able,oozed
able,opens
able,opted
able,ought
able,owe
able,owed
able,owes
able,owns
able,paled
able,pave
able,pays
able,pee
able,piled
able,piped
able,plead
able,pluck
able,poke
able,poked
able,pose
able,posed
able,posit
able,pour
able,pours
able,prays
able,pried
able,prove
able,pry
able,pulls
able,puts
able,quell
able,quit
able,raced
able,raged
able,raked
able,ran
able,rang
able,raped
able,react
able,reads
able,reap
able,recur
able,refer
able,relax
able,rely
able,renew
able,repay
able,repel
able,reset
able,rests
able,risen
able,roam
able,rode
able,rouse
able,rowed
able,rubs
able,ruled
able,sang
able,sank
able,sat
able,saved
able,saves
able,savor
able,says
able,scold
able,sed
able,seek
able,seeks
able,seem
able,seen
able,sees
able,seize
able,sells
able,send
able,sends
able,sent
able,sever
able,sew
able,sewed
able,sewn
able,shalt
able,shave
able,shed
able,shew
able,shook
able,shown
able,shun
able,shuts
able,sift
able,sings
able,sits
able,skim
able,slain
able,slay
able,slept
able,slid
able,slows
able,slung
able,smack
able,smash
able,smelt
able,smote
able,snaps
able,sneak
able,sniff
able,snuck
able,soak
able,soar
able,sold
able,solve
able,sow
able,sown
able,spake
able,spat
able,speak
able,sped
able,spelt
able,spend
able,spent
able,spied
able,spit
able,spoke
able,spun
able,steal
able,steer
able,stir
able,stirs
able,stole
able,stood
able,stung
able,sucks
able,sued
able,sunk
able,swam
able,swear
able,swept
able,swore
able,sworn
able,swung
able,taken
able,takes
able,tamed
able,taped
able,taxed
able,teach
able,tell
able,tells
able,tempt
able,tend
able,tends
able,thank
able,threw
able,throw
able,tied
able,told
able,took
able,tore
able,towed
able,toyed
able,tried
able,trod
able,tuned
able,tying
able,undid
able,undo
able,unify
able,unite
able,urged
able,urges
able,vexed
able,voted
able,vowed
able,waded
able,waged
able,waits
able,waive
able,wakes
able,waned
able,wanna
able,warn
able,warns
able,waved
able,waxed
able,wears
able,weave
able,wed
able,weep
able,weigh
able,went
able,wept
able,whisk
able,widen
able,wield
able,wilt
able,wipe
able,wiped
able,wipes
able,wired
able,woke
able,woken
able,wont
able,wore
able,wove
able,woven
able,wrote
able,wrung
acrid,abide
acrid,ached
acrid,aches
acrid,acted
acrid,adapt
acrid,adds
acrid,admit
acrid,adopt
acrid,adore
acrid,adorn
acrid,agree
acrid,aimed
acrid,aired
acrid,align
acrid,allow
acrid,amend
acrid,amuse
acrid,annoy
acrid,apply
acrid,argue
acrid,arise
acrid,arose
acrid,asked
acrid,asks
acrid,ate
acrid,avert
acrid,avoid
acrid,await
acrid,awed
acrid,awoke
acrid,bade
acrid,bared
acrid,bathe
acrid,been
acrid,beg
acrid,began
acrid,begin
acrid,begs
acrid,begun
acrid,beset
acrid,binds
acrid,bled
acrid,bleed
acrid,bless
acrid,blew
acrid,bore
acrid,bowed
acrid,boxed
acrid,brag
acrid,bring
acrid,broke
acrid,budge
acrid,buys
acrid,came
acrid,cared
acrid,carve
acrid,cater
acrid,ceded
acrid,cheat
acrid,chew
acrid,choke
acrid,chose
acrid,cite
acrid,cited
acrid,cites
acrid,clap
acrid,cling
acrid,clung
acrid,coax
acrid,coded
acrid,comes
acrid,cools
acrid,cope
acrid,could
acrid,crave
acrid,crept
acrid,cried
acrid,cured
acrid,dared
acrid,dares
acrid,dealt
acrid,deem
acrid,deems
acrid,defer
acrid,defy
acrid,delve
acrid,deny
acrid,deter
acrid,diced
acrid,didn
acrid,didst
acrid,died
acrid,dined
acrid,dived
acrid,doin
acrid,doing
acrid,done
acrid,dost
acrid,doth
acrid,dozed
acrid,drags
acrid,drank
acrid,draws
acrid,drove
acrid,drown
acrid,dug
acrid,dunno
acrid,dwelt
acrid,dyed
acrid,earn
acrid,earns
acrid,eased
acrid,eaten
acrid,eats
acrid,elude
acrid,embed
acrid,emit
acrid,emits
acrid,enact
acrid,enjoy
acrid,ensue
acrid,enter
acrid,equip
acrid,erase
acrid,ere
acrid,erode
acrid,err
acrid,erred
acrid,erupt
acrid,evade
acrid,evoke
acrid,exert
acrid,exist
acrid,expel
acrid,faded
acrid,fades
acrid,fail
acrid,fails
acrid,fain
acrid,faked
acrid,fared
acrid,feeds
acrid,feels
acrid,fell
acrid,felt
acrid,fend
acrid,fetch
acrid,filed
acrid,fills
acrid,find
acrid,fined
acrid,fled
acrid,flee
acrid,flew
acrid,flirt
acrid,flown
acrid,forgo
acrid,freed
acrid,frees
acrid,fret
acrid,froze
acrid,fused
acrid,gaped
acrid,gave
acrid,gazed
acrid,gets
acrid,git
acrid,gives
acrid,glean
acrid,glued
acrid,goes
acrid,goin
acrid,gone
acrid,grabs
acrid,graze
acrid,greet
acrid,grew
acrid,grind
acrid,grow
acrid,grows
acrid,hangs
acrid,hated
acrid,hates
acrid,haue
acrid,haunt
acrid,heal
acrid,hear
acrid,hears
acrid,heave
acrid,heed
acrid,helps
acrid,hid
acrid,hiked
acrid,holed
acrid,honed
acrid,hoped
acrid,hover
acrid,hurl
acrid,hurts
acrid,imply
acrid,incur
acrid,infer
acrid,ing
acrid,join
acrid,joins
acrid,joked
acrid,keeps
acrid,kept
acrid,keyed
acrid,kneel
acrid,knelt
acrid,knew
acrid,knows
acrid,laced
acrid,lacks
acrid,lain
acrid,lasts
acrid,lays
acrid,leans
acrid,leant
acrid,learn
acrid,lend
acrid,lends
acrid,lent
acrid,lets
acrid,lied
acrid,liked
acrid,looms
acrid,lose
acrid,loses
acrid,loved
acrid,lured
acrid,marry
acrid,mated
acrid,meant
acrid,meets
acrid,mend
acrid,merge
acrid,mined
acrid,mired
acrid,mourn
acrid,moved
acrid,mused
acrid,must
acrid,named
acrid,obey
acrid,obeys
acrid,occur
acrid,ofhis
acrid,omit
acrid,omits
acrid,oozed
acrid,opens
acrid,opted
acrid,ought
acrid,owe
acrid,owed
acrid,owes
acrid,owns
acrid,paled
acrid,pave
acrid,pays
acrid,pee
acrid,piled
acrid,piped
acrid,plead
acrid,pluck
acrid,poke
acrid,poked
acrid,pose
acrid,posed
acrid,posit
acrid,pour
acrid,pours
acrid,prays
acrid,pried
acrid,prove
acrid,pry
acrid,pulls
acrid,puts
acrid,quell
acrid,quit
acrid,raced
acrid,raged
acrid,raked
acrid,ran
acrid,rang
acrid,raped
acrid,react
acrid,reads
acrid,reap
acrid,recur
acrid,refer
acrid,relax
acrid,rely
acrid,renew
acrid,repay
acrid,repel
acrid,reset
acrid,rests
acrid,risen
acrid,roam
acrid,rode
acrid,rouse
acrid,rowed
acrid,rubs
acrid,ruled
acrid,sang
acrid,sank
acrid,sat
acrid,saved
acrid,saves
acrid,savor
acrid,says
acrid,scold
acrid,sed
acrid,seek
acrid,seeks
acrid,seem
acrid,seen
acrid,sees
acrid,seize
acrid,sells
acrid,send
acrid,sends
acrid,sent
acrid,sever
acrid,sew
acrid,sewed
acrid,sewn
acrid,shalt
acrid,shave
acrid,shed
acrid,shew
acrid,shook
acrid,shown
acrid,shun
acrid,shuts
acrid,sift
acrid,sings
acrid,sits
acrid,skim
acrid,slain
acrid,slay
acrid,slept
acrid,slid
acrid,slows
acrid,slung
acrid,smack
acrid,smash
acrid,smelt
acrid,smote
acrid,snaps
acrid,sneak
acrid,sniff
acrid,snuck
acrid,soak
acrid,soar
acrid,sold
acrid,solve
acrid,sow
acrid,sown
acrid,spake
acrid,spat
acrid,speak
acrid,sped
acrid,spelt
acrid,spend
acrid,spent
acrid,spied
acrid,spit
acrid,spoke
acrid,spun
acrid,steal
acrid,steer
acrid,stir
acrid,stirs
acrid,stole
acrid,stood
acrid,stung
acrid,sucks
acrid,sued
acrid,sunk
acrid,swam
acrid,swear
acrid,swept
acrid,swore
acrid,sworn
acrid,swung
acrid,taken
acrid,takes
acrid,tamed
acrid,taped
acrid,taxed
acrid,teach
acrid,tell
acrid,tells
acrid,tempt
acrid,tend
acrid,tends
acrid,thank
acrid,threw
acrid,throw
acrid,tied
acrid,told
acrid,took
acrid,tore
acrid,towed
acrid,toyed
acrid,tried
acrid,trod
acrid,tuned
acrid,tying
acrid,undid
acrid,undo
acrid,unify
acrid,unite
acrid,urged
acrid,urges
acrid,vexed
acrid,voted
acrid,vowed
acrid,waded
acrid,waged
acrid,waits
acrid,waive
acrid,wakes
acrid,waned
acrid,wanna
acrid,warn
acrid,warns
acrid,waved
acrid,waxed
acrid,wears
acrid,weave
acrid,wed
acrid,weep
acrid,weigh
acrid,went
acrid,wept
acrid,were
acrid,whisk
acrid,widen
acrid,wield
acrid,wilt
acrid,wipe
acrid,wiped
acrid,wipes
acrid,wired
acrid,woke
acrid,woken
acrid,wont
acrid,wore
acrid,wove
acrid,woven
acrid,wrote
acrid,wrung
acute,abide
acute,ached
acute,aches
acute,acted
acute,adapt
acute,adds
acute,admit
acute,adopt
acute,adore
acute,adorn
acute,agree
acute,aimed
acute,aired
acute,align
acute,allow
acute,amend
acute,amuse
acute,annoy
acute,apply
acute,argue
acute,arise
acute,arose
acute,asked
acute,asks
acute,ate
acute,avert
acute,avoid
acute,await
acute,awed
acute,awoke
acute,bade
acute,bared
acute,bathe
acute,been
acute,beg
acute,began
acute,begin
acute,begs
acute,begun
acute,beset
acute,binds
acute,bled
acute,bleed
acute,bless
acute,blew
acute,bore
acute,bowed
acute,boxed
acute,brag
acute,bring
acute,broke
acute,budge
acute,buys
acute,came
acute,cared
acute,carve
acute,cater
acute,ceded
acute,cheat
acute,chew
acute,choke
acute,chose
acute,cite
acute,cited
acute,cites
acute,clap
acute,cling
acute,clung
acute,coax
acute,coded
acute,comes
acute,cools
acute,cope
acute,could
acute,crave
acute,crept
acute,cried
acute,cured
acute,dared
acute,dares
acute,dealt
acute,deem
acute,deems
acute,defer
acute,defy
acute,delve
acute,deny
acute,deter
acute,diced
acute,didn
acute,didst
acute,died
acute,dined
acute,dived
acute,doin
acute,doing
acute,done
acute,dost
acute,doth
acute,dozed
acute,drags
acute,drank
acute,draws
acute,drove
acute,drown
acute,dug
acute,dunno
acute,dwelt
acute,dyed
acute,earn
acute,earns
acute,eased
acute,eaten
acute,eats
acute,elude
acute,embed
acute,emit
acute,emits
acute,enact
acute,enjoy
acute,ensue
acute,enter
acute,equip
acute,erase
acute,ere
acute,erode
acute,err
acute,erred
acute,erupt
acute,evade
acute,evoke
acute,exert
acute,exist
acute,expel
acute,faded
acute,fades
acute,fail
acute,fails
acute,fain
acute,faked
acute,fared
acute,feeds
acute,feels
acute,fell
acute,felt
acute,fend
acute,fetch
acute,filed
acute,fills
acute,find
acute,fined
acute,fled
acute,flee
acute,flew
acute,flirt
acute,flown
acute,forgo
acute,freed
acute,frees
acute,fret
acute,froze
acute,fused
acute,gaped
acute,gave
acute,gazed
acute,gets
acute,git
acute,gives
acute,glean
acute,glued
acute,goes
acute,goin
acute,gone
acute,grabs
acute,graze
acute,greet
acute,grew
acute,grind
acute,grow
acute,grows
acute,hangs
acute,hated
acute,hates
acute,haue
acute,haunt
acute,heal
acute,hear
acute,hears
acute,heave
acute,heed
acute,helps
acute,hid
acute,hiked
acute,holed
acute,honed
acute,hoped
acute,hover
acute,hurl
acute,hurts
acute,imply
acute,incur
acute,infer
acute,ing
acute,join
acute,joins
acute,joked
acute,keeps
acute,kept
acute,keyed
acute,kneel
acute,knelt
acute,knew
acute,knows
acute,laced
acute,lacks
acute,lain
acute,lasts
acute,lays
acute,leans
acute,leant
acute,learn
acute,lend
acute,lends
acute,lent
acute,lets
acute,lied
acute,liked
acute,looms
acute,lose
acute,loses
acute,loved
acute,lured
acute,marry
acute,mated
acute,meant
acute,meets
acute,mend
acute,merge
acute,mined
acute,mired
acute,mourn
acute,moved
acute,mused
acute,must
acute,named
acute,obey
acute,obeys
acute,occur
acute,ofhis
acute,omit
acute,omits
acute,oozed
acute,opens
acute,opted
acute,ought
acute,owe
acute,owed
acute,owes
acute,owns
acute,paled
acute,pave
acute,pays
acute,pee
acute,piled
acute,piped
acute,plead
acute,pluck
acute,poke
acute,poked
acute,pose
acute,posed
acute,posit
acute,pour
acute,pours
acute,prays
acute,pried
acute,prove
acute,pry
acute,pulls
acute,puts
acute,quell
acute,quit
acute,raced
acute,raged
acute,raked
acute,ran
acute,rang
acute,raped
acute,react
acute,reads
acute,reap
acute,recur
acute,refer
acute,relax
acute,rely
acute,renew
acute,repay
acute,repel
acute,reset
acute,rests
acute,risen
acute,roam
acute,rode
acute,rouse
acute,rowed
acute,rubs
acute,ruled
acute,sang
acute,sank
acute,sat
acute,saved
acute,saves
acute,savor
acute,says
acute,scold
acute,sed
acute,seek
acute,seeks
acute,seem
acute,seen
acute,sees
acute,seize
acute,sells
acute,send
acute,sends
acute,sent
acute,sever
acute,sew
acute,sewed
acute,sewn
acute,shalt
acute,shave
acute,shed
acute,shew
acute,shook
acute,shown
acute,shun
acute,shuts
acute,sift
acute,sings
acute,sits
acute,skim
acute,slain
acute,slay
acute,slept
acute,slid
acute,slows
acute,slung
acute,smack
acute,smash
acute,smelt
acute,smote
acute,snaps
acute,sneak
acute,sniff
acute,snuck
acute,soak
acute,soar
acute,sold
acute,solve
acute,sow
acute,sown
acute,spake
acute,spat
acute,speak
acute,sped
acute,spelt
acute,spend
acute,spent
acute,spied
acute,spit
acute,spoke
acute,spun
acute,steal
acute,steer
acute,stir
acute,stirs
acute,stole
acute,stood
acute,stung
acute,sucks
acute,sued
acute,sunk
acute,swam
acute,swear
acute,swept
acute,swore
acute,sworn
acute,swung
acute,taken
acute,takes
acute,tamed
acute,taped
acute,taxed
acute,teach
acute,tell
acute,tells
acute,tempt
acute,tend
acute,tends
acute,thank
acute,threw
acute,throw
acute,tied
acute,told
acute,took
acute,tore
acute,towed
acute,toyed
acute,tried
acute,trod
acute,tuned
acute,tying
acute,undid
acute,undo
acute,unify
acute,unite
acute,urged
acute,urges
acute,vexed
acute,voted
acute,vowed
acute,waded
acute,waged
acute,waits
acute,waive
acute,wakes
acute,waned
acute,wanna
acute,warn
acute,warns
acute,waved
acute,waxed
acute,wears
acute,weave
acute,wed
acute,weep
acute,weigh
acute,went
acute,wept
acute,were
acute,whisk
acute,widen
acute,wield
acute,wilt
acute,wipe
acute,wiped
acute,wipes
acute,wired
acute,woke
acute,woken
acute,wont
acute,wore
acute,wove
acute,woven
acute,wrote
acute,wrung
adept,abide
adept,ached
adept,aches
adept,acted
adept,adapt
adept,adds
adept,admit
adept,adopt
adept,adore
adept,adorn
adept,agree
adept,aimed
adept,aired
adept,align
adept,allow
adept,amend
adept,amuse
adept,annoy
adept,apply
adept,argue
adept,arise
adept,arose
adept,asked
adept,asks
adept,ate
adept,avert
adept,avoid
adept,await
adept,awed
adept,awoke
adept,bade
adept,bared
adept,bathe
adept,been
adept,beg
adept,began
adept,begin
adept,begs
adept,begun
adept,beset
adept,binds
adept,bled
adept,bleed
adept,bless
adept,blew
adept,bore
adept,bowed
adept,boxed
adept,brag
adept,bring
adept,broke
adept,budge
adept,buys
adept,came
adept,cared
adept,carve
adept,cater
adept,ceded
adept,cheat
adept,chew
adept,choke
adept,chose
adept,cite
adept,cited
adept,cites
adept,clap
adept,cling
adept,clung
adept,coax
adept,coded
adept,comes
adept,cools
adept,cope
adept,could
adept,crave
adept,crept
adept,cried
adept,cured
adept,dared
adept,dares
adept,dealt
adept,deem
adept,deems
adept,defer
adept,defy
adept,delve
adept,deny
adept,deter
adept,diced
adept,didn
adept,didst
adept,died
adept,dined
adept,dived
adept,doin
adept,doing
adept,done
adept,dost
adept,doth
adept,dozed
adept,drags
adept,drank
adept,draws
adept,drove
adept,drown
adept,dug
adept,dunno
adept,dwelt
adept,dyed
adept,earn
adept,earns
adept,eased
adept,eaten
adept,eats
adept,elude
adept,embed
adept,emit
adept,emits
adept,enact
adept,enjoy
adept,ensue
adept,enter
adept,equip
adept,erase
adept,ere
adept,erode
adept,err
adept,erred
adept,erupt
adept,evade
adept,evoke
adept,exert
adept,exist
adept,expel
adept,faded
adept,fades
adept,fail
adept,fails
adept,fain
adept,faked
adept,fared
adept,feeds
adept,feels
adept,fell
adept,felt
adept,fend
adept,fetch
adept,filed
adept,fills
adept,find
adept,fined
adept,fled
adept,flee
adept,flew
adept,flirt
adept,flown
adept,forgo
adept,freed
adept,frees
adept,fret
adept,froze
adept,fused
adept,gaped
adept,gave
adept,gazed
adept,gets
adept,git
adept,gives
adept,glean
adept,glued
adept,goes
adept,goin
adept,gone
adept,grabs
adept,graze
adept,greet
adept,grew
adept,grind
adept,grow
adept,grows
adept,hangs
adept,hated
adept,hates
adept,haue
adept,haunt
adept,heal
adept,hear
adept,hears
adept,heave
adept,heed
adept,helps
adept,hid
adept,hiked
adept,holed
adept,honed
adept,hoped
adept,hover
adept,hurl
adept,hurts
adept,imply
adept,incur
adept,infer
adept,ing
adept,join
adept,joins
adept,joked
adept,keeps
adept,kept
adept,keyed
adept,kneel
adept,knelt
adept,knew
adept,knows
adept,laced
adept,lacks
adept,lain
adept,lasts
adept,lays
adept,leans
adept,leant
adept,learn
adept,lend
adept,lends
adept,lent
adept,lets
adept,lied
adept,liked
adept,looms
adept,lose
adept,loses
adept,loved
adept,lured
adept,marry
adept,mated
adept,meant
adept,meets
adept,mend
adept,merge
adept,mined
adept,mired
adept,mourn
adept,moved
adept,mused
adept,must
adept,named
adept,obey
adept,obeys
adept,occur
adept,ofhis
adept,omit
adept,omits
adept,oozed
adept,opens
adept,opted
adept,ought
adept,owe
adept,owed
adept,owes
adept,owns
adept,paled
adept,pave
adept,pays
adept,pee
adept,piled
adept,piped
adept,plead
adept,pluck
adept,poke
adept,poked
adept,pose
adept,posed
adept,posit
adept,pour
adept,pours
adept,prays
adept,pried
adept,prove
adept,pry
adept,pulls
adept,puts
adept,quell
adept,quit
adept,raced
adept,raged
adept,raked
adept,ran
adept,rang
adept,raped
adept,react
adept,reads
adept,reap
adept,recur
adept,refer
adept,relax
adept,rely
adept,renew
adept,repay
adept,repel
adept,reset
adept,rests
adept,risen
adept,roam
adept,rode
adept,rouse
adept,rowed
adept,rubs
adept,ruled
adept,sang
adept,sank
adept,sat
adept,saved
adept,saves
adept,savor
adept,says
adept,scold
adept,sed
adept,seek
adept,seeks
adept,seem
adept,seen
adept,sees
adept,seize
adept,sells
adept,send
adept,sends
adept,sent
adept,sever
adept,sew
adept,sewed
adept,sewn
adept,shalt
adept,shave
adept,shed
adept,shew
adept,shook
adept,shown
adept,shun
adept,shuts
adept,sift
adept,sings
adept,sits
adept,skim
adept,slain
adept,slay
adept,slept
adept,slid
adept,slows
adept,slung
adept,smack
adept,smash
adept,smelt
adept,smote
adept,snaps
adept,sneak
adept,sniff
adept,snuck
adept,soak
adept,soar
adept,sold
adept,solve
adept,sow
adept,sown
adept,spake
adept,spat
adept,speak
adept,sped
adept,spelt
adept,spend
adept,spent
adept,spied
adept,spit
adept,spoke
adept,spun
adept,steal
adept,steer
adept,stir
adept,stirs
adept,stole
adept,stood
adept,stung
adept,sucks
adept,sued
adept,sunk
adept,swam
adept,swear
adept,swept
adept,swore
adept,sworn
adept,swung
adept,taken
adept,takes
adept,tamed
adept,taped
adept,taxed
adept,teach
adept,tell
adept,tells
adept,tempt
adept,tend
adept,tends
adept,thank
adept,threw
adept,throw
adept,tied
adept,told
adept,took
adept,tore
adept,towed
adept,toyed
adept,tried
adept,trod
adept,tuned
adept,tying
adept,undid
adept,undo
adept,unify
adept,unite
adept,urged
adept,urges
adept,vexed
adept,voted
adept,vowed
adept,waded
adept,waged
adept,waits
adept,waive
adept,wakes
adept,waned
adept,wanna
adept,warn
adept,warns
adept,waved
adept,waxed
adept,wears
adept,weave
adept,wed
adept,weep
adept,weigh
adept,went
adept,wept
adept,were
adept,whisk
adept,widen
adept,wield
adept,wilt
adept,wipe
adept,wiped
adept,wipes
adept,wired
adept,woke
adept,woken
adept,wont
adept,wore
adept,wove
adept,woven
adept,wrote
adept,wrung
agro,abide
agro,ached
agro,aches
agro,acted
agro,adapt
agro,adds
agro,admit
agro,adopt
agro,adore
agro,adorn
agro,agree
agro,aimed
agro,aired
agro,align
agro,allow
agro,amend
agro,amuse
agro,annoy
agro,apply
agro,argue
agro,arise
agro,arose
agro,asked
agro,asks
agro,ate
agro,avert
agro,avoid
agro,await
agro,awed
agro,awoke
agro,bade
agro,bared
agro,bathe
agro,been
agro,beg
agro,began
agro,begin
agro,begs
agro,begun
agro,beset
agro,binds
agro,bled
agro,bleed
agro,bless
agro,blew
agro,bore
agro,bowed
agro,boxed
agro,brag
agro,bring
agro,broke
agro,budge
agro,buys
agro,came
agro,cared
agro,carve
agro,cater
agro,ceded
agro,cheat
agro,chew
agro,choke
agro,chose
agro,cite
agro,cited
agro,cites
agro,clap
agro,cling
agro,clung
agro,coax
agro,coded
agro,comes
agro,cools
agro,cope
agro,could
agro,crave
agro,crept
agro,cried
agro,cured
agro,dared
agro,dares
agro,dealt
agro,deem
agro,deems
agro,defer
agro,defy
agro,delve
agro,deny
agro,deter
agro,diced
agro,didn
agro,didst
agro,died
agro,dined
agro,dived
agro,doin
agro,doing
agro,done
agro,dost
agro,doth
agro,dozed
agro,drags
agro,drank
agro,draws
agro,drove
agro,drown
agro,dug
agro,dunno
agro,dwelt
agro,dyed
agro,earn
agro,earns
agro,eased
agro,eaten
agro,eats
agro,elude
agro,embed
agro,emit
agro,emits
agro,enact
agro,enjoy
agro,ensue
agro,enter
agro,equip
agro,erase
agro,ere
agro,erode
agro,err
agro,erred
agro,erupt
agro,evade
agro,evoke
agro,exert
agro,exist
agro,expel
agro,faded
agro,fades
agro,fail
agro,fails
agro,fain
agro,faked
agro,fared
agro,feeds
agro,feels
agro,fell
agro,felt
agro,fend
agro,fetch
agro,filed
agro,fills
agro,find
agro,fined
agro,fled
agro,flee
agro,flew
agro,flirt
agro,flown
agro,forgo
agro,freed
agro,frees
agro,fret
agro,froze
agro,fused
agro,gaped
agro,gave
agro,gazed
agro,gets
agro,git
agro,gives
agro,glean
agro,glued
agro,goes
agro,goin
agro,gone
agro,grabs
agro,graze
agro,greet
agro,grew
agro,grind
agro,grow
agro,grows
agro,hangs
agro,hated
agro,hates
agro,haue
agro,haunt
agro,heal
agro,hear
agro,hears
agro,heave
agro,heed
agro,helps
agro,hid
agro,hiked
agro,holed
agro,honed
agro,hoped
agro,hover
agro,hurl
agro,hurts
agro,imply
agro,incur
agro,infer
agro,ing
agro,join
agro,joins
agro,joked
agro,keeps
agro,kept
agro,keyed
agro,kneel
agro,knelt
agro,knew
agro,knows
agro,laced
agro,lacks
agro,lain
agro,lasts
agro,lays
agro,leans
agro,leant
agro,learn
agro,lend
agro,lends
agro,lent
agro,lets
agro,lied
agro,liked
agro,looms
agro,lose
agro,loses
agro,loved
agro,lured
agro,marry
agro,mated
agro,meant
agro,meets
agro,mend
agro,merge
agro,mined
agro,mired
agro,mourn
agro,moved
agro,mused
agro,must
agro,named
agro,obey
agro,obeys
agro,occur
agro,ofhis
agro,omit
agro,omits
agro,oozed
agro,opens
agro,opted
agro,ought
agro,owe
agro,owed
agro,owes
agro,owns
agro,paled
agro,pave
agro,pays
agro,pee
agro,piled
agro,piped
agro,plead
agro,pluck
agro,poke
agro,poked
agro,pose
agro,posed
agro,posit
agro,pour
agro,pours
agro,prays
agro,pried
agro,prove
agro,pry
agro,pulls
agro,puts
agro,quell
agro,quit
agro,raced
agro,raged
agro,raked
agro,ran
agro,rang
agro,raped
agro,react
agro,reads
agro,reap
agro,recur
agro,refer
agro,relax
agro,rely
agro,renew
agro,repay
agro,repel
agro,reset
agro,rests
agro,risen
agro,roam
agro,rode
agro,rouse
agro,rowed
agro,rubs
agro,ruled
agro,sang
agro,sank
agro,sat
agro,saved
agro,saves
agro,savor
agro,says
agro,scold
agro,sed
agro,seek
agro,seeks
agro,seem
agro,seen
agro,sees
agro,seize
agro,sells
agro,send
agro,sends
agro,sent
agro,sever
agro,sew
agro,sewed
agro,sewn
agro,shalt
agro,shave
agro,shed
agro,shew
agro,shook
agro,shown
agro,shun
agro,shuts
agro,sift
agro,sings
agro,sits
agro,skim
agro,slain
agro,slay
agro,slept
agro,slid
agro,slows
agro,slung
agro,smack
agro,smash
agro,smelt
agro,smote
agro,snaps
agro,sneak
agro,sniff
agro,snuck
agro,soak
agro,soar
agro,sold
agro,solve
agro,sow
agro,sown
agro,spake
agro,spat
agro,speak
agro,sped
agro,spelt
agro,spend
agro,spent
agro,spied
agro,spit
agro,spoke
agro,spun
agro,steal
agro,steer
agro,stir
agro,stirs
agro,stole
agro,stood
agro,stung
agro,sucks
agro,sued
agro,sunk
agro,swam
agro,swear
agro,swept
agro,swore
agro,sworn
agro,swung
agro,taken
agro,takes
agro,tamed
agro,taped
agro,taxed
agro,teach
agro,tell
agro,tells
agro,tempt
agro,tend
agro,tends
agro,thank
agro,threw
agro,throw
agro,tied
agro,told
agro,took
agro,tore
agro,towed
agro,toyed
agro,tried
agro,trod
agro,tuned
agro,tying
agro,undid
agro,undo
agro,unify
agro,unite
agro,urged
agro,urges
agro,vexed
agro,voted
agro,vowed
agro,waded
agro,waged
agro,waits
agro,waive
agro,wakes
agro,waned
agro,wanna
agro,warn
agro,warns
agro,waved
agro,waxed
agro,wears
agro,weave
agro,wed
agro,weep
agro,weigh
agro,went
agro,wept
agro,were
agro,whisk
agro,widen
agro,wield
agro,wilt
agro,wipe
agro,wiped
