,index,condition,w1,w2,subtype,w1_type,w2_type,invertible,Unnamed: 0
60,60,phrase,much,hair,odd,word,word,True,60.0
61,61,phrase,lost,sight,odd,word,word,True,
62,62,phrase,vital,signs,odd,word,word,True,
63,63,phrase,seat,belt,odd,word,word,True,
64,64,phrase,keen,cell,odd,word,word,True,64.0
65,65,phrase,fatty,acids,odd,word,word,True,
66,66,phrase,his,city,odd,word,word,True,66.0
67,67,phrase,lax,zone,odd,word,word,True,67.0
68,68,phrase,fake,wolf,odd,word,word,True,68.0
69,69,phrase,smart,women,odd,word,word,True,
70,70,phrase,few,steps,odd,word,word,True,
71,71,phrase,warm,lung,odd,word,word,True,71.0
72,72,phrase,fine,arts,odd,word,word,True,
73,73,phrase,under,cover,odd,word,word,True,
74,74,phrase,dumb,year,odd,word,word,True,74.0
75,75,phrase,dull,knob,odd,word,word,True,75.0
76,76,phrase,woman,said,odd,word,word,True,
77,77,phrase,dry,limb,odd,word,word,True,77.0
78,78,phrase,only,hope,odd,word,word,True,
79,79,phrase,damp,myth,odd,word,word,True,79.0
80,80,phrase,meek,disk,odd,word,word,True,80.0
81,81,phrase,fast,unit,odd,word,word,True,81.0
82,82,phrase,equal,parts,odd,word,word,True,
83,83,phrase,sick,bat,odd,word,word,True,83.0
84,84,phrase,never,met,odd,word,word,True,
85,85,phrase,brain,stem,odd,word,word,True,
86,86,phrase,red,eyes,odd,word,word,True,
87,87,phrase,calm,omen,odd,word,word,True,87.0
88,88,phrase,thin,word,odd,word,word,True,88.0
89,89,phrase,one,pair,odd,word,word,True,
90,90,non-phrase,fewer,poked,odd,word,word,False,102.0
91,91,non-phrase,stony,wrote,odd,word,word,False,170.0
92,92,non-phrase,boy,small,odd,word,word,False,465.0
93,93,non-phrase,shiny,prays,odd,word,word,False,176.0
94,94,non-phrase,cow,hard,odd,word,word,False,483.0
95,95,non-phrase,rabid,fills,odd,word,word,False,169.0
96,96,non-phrase,adept,bled,odd,word,word,False,96.0
97,97,non-phrase,leafy,occur,odd,word,word,False,117.0
98,98,non-phrase,lip,rude,odd,word,word,False,462.0
99,99,non-phrase,group,peer,odd,word,word,False,472.0
100,100,non-phrase,path,cute,odd,word,word,False,482.0
101,101,non-phrase,nasty,greet,odd,word,word,False,128.0
102,102,non-phrase,hen,mild,odd,word,word,False,455.0
103,103,non-phrase,scant,liked,odd,word,word,False,149.0
104,104,non-phrase,law,local,odd,word,word,False,469.0
105,105,non-phrase,acute,beg,odd,word,word,False,105.0
106,106,non-phrase,feet,two,odd,word,word,False,450.0
107,107,non-phrase,glad,loved,odd,word,word,False,115.0
108,108,non-phrase,bogus,arise,odd,word,word,False,104.0
109,109,non-phrase,poem,oily,odd,word,word,False,457.0
110,110,non-phrase,handy,saved,odd,word,word,False,133.0
111,111,non-phrase,sign,good,odd,word,word,False,465.0
112,112,non-phrase,hours,five,odd,word,word,False,473.0
113,113,non-phrase,lives,daily,odd,word,word,False,466.0
114,114,non-phrase,cruel,sew,odd,word,word,False,139.0
115,115,non-phrase,oven,dead,odd,word,word,False,470.0
116,116,non-phrase,shone,sun,odd,word,word,False,453.0
117,117,non-phrase,grimy,lasts,odd,word,word,False,125.0
118,118,non-phrase,loyal,owes,odd,word,word,False,167.0
119,119,non-phrase,numb,vowed,odd,word,word,False,113.0
120,120,non-phrase,kids,other,odd,word,word,False,477.0
121,121,non-phrase,ring,idle,odd,word,word,False,469.0
122,122,non-phrase,tier,plead,odd,word,word,False,155.0
123,123,non-phrase,fated,stir,odd,word,word,False,163.0
124,124,non-phrase,play,would,odd,word,word,False,451.0
125,125,non-phrase,foot,mute,odd,word,word,False,466.0
126,126,non-phrase,lord,this,odd,word,word,False,478.0
127,127,non-phrase,phony,pluck,odd,word,word,False,119.0
128,128,non-phrase,lofty,defer,odd,word,word,False,120.0
129,129,non-phrase,cubic,wed,odd,word,word,False,111.0
130,130,non-phrase,unfit,obeys,odd,word,word,False,143.0
131,131,non-phrase,lunar,sank,odd,word,word,False,174.0
132,132,non-phrase,khaki,clung,odd,word,word,False,147.0
133,133,non-phrase,frog,lush,odd,word,word,False,482.0
134,134,non-phrase,smoky,waxed,odd,word,word,False,127.0
135,135,non-phrase,pent,cured,odd,word,word,False,158.0
136,136,non-phrase,naked,recur,odd,word,word,False,178.0
137,137,non-phrase,muddy,shook,odd,word,word,False,144.0
138,138,non-phrase,miles,fifty,odd,word,word,False,461.0
139,139,non-phrase,limit,upper,odd,word,word,False,458.0
140,140,non-phrase,fuzzy,hover,odd,word,word,False,171.0
141,141,non-phrase,lamp,any,odd,word,word,False,454.0
142,142,non-phrase,truer,leant,odd,word,word,False,156.0
143,143,non-phrase,tidal,dares,odd,word,word,False,134.0
144,144,non-phrase,silky,ensue,odd,word,word,False,95.0
145,145,non-phrase,soap,true,odd,word,word,False,456.0
146,146,non-phrase,scary,stirs,odd,word,word,False,124.0
147,147,non-phrase,lake,nice,odd,word,word,False,476.0
148,148,non-phrase,edge,bold,odd,word,word,False,456.0
149,149,non-phrase,neck,wry,odd,word,word,False,471.0
150,150,non-phrase,lobe,wide,odd,word,word,False,472.0
151,151,non-phrase,messy,slung,odd,word,word,False,138.0
152,152,non-phrase,jury,grand,odd,word,word,False,463.0
153,153,non-phrase,crow,her,odd,word,word,False,457.0
154,154,non-phrase,body,loud,odd,word,word,False,475.0
155,155,non-phrase,surly,beset,odd,word,word,False,146.0
156,156,non-phrase,false,solve,odd,word,word,False,130.0
157,157,non-phrase,loath,deter,odd,word,word,False,161.0
158,158,non-phrase,needy,sever,odd,word,word,False,109.0
159,159,non-phrase,cozy,undid,odd,word,word,False,92.0
160,160,non-phrase,beans,green,odd,word,word,False,481.0
161,161,non-phrase,term,grim,odd,word,word,False,459.0
162,162,non-phrase,owl,such,odd,word,word,False,479.0
163,163,non-phrase,gruff,mated,odd,word,word,False,97.0
164,164,non-phrase,lot,awful,odd,word,word,False,468.0
165,165,non-phrase,ink,pure,odd,word,word,False,470.0
166,166,non-phrase,outer,waved,odd,word,word,False,118.0
167,167,non-phrase,tough,named,odd,word,word,False,91.0
168,168,non-phrase,lion,your,odd,word,word,False,474.0
169,169,non-phrase,semi,dared,odd,word,word,False,162.0
170,170,non-phrase,savvy,owe,odd,word,word,False,110.0
171,171,non-phrase,edgy,widen,odd,word,word,False,129.0
172,172,non-phrase,heard,have,odd,word,word,False,462.0
173,173,non-phrase,hall,dual,odd,word,word,False,479.0
174,174,non-phrase,iced,hoped,odd,word,word,False,145.0
175,175,non-phrase,bowl,lame,odd,word,word,False,464.0
176,176,non-phrase,lowly,waged,odd,word,word,False,172.0
177,177,non-phrase,toad,apt,odd,word,word,False,460.0
178,178,non-phrase,smile,faint,odd,word,word,False,471.0
179,179,non-phrase,van,tall,odd,word,word,False,453.0
180,180,non-word,sofa,bksj,odd,word,non-word,False,180.0
181,181,non-word,bksj,drum,odd,non-word,word,False,
182,182,non-word,bkvj,fox,odd,non-word,word,False,182.0
183,183,non-word,bkvj,fun,odd,non-word,word,False,183.0
184,184,non-word,fkmv,mold,odd,non-word,word,False,184.0
185,185,non-word,fkmv,west,odd,non-word,word,False,185.0
186,186,non-word,name,fkv,odd,word,non-word,False,186.0
187,187,non-word,ohio,fkv,odd,word,non-word,False,187.0
188,188,non-word,fkvj,much,odd,non-word,word,False,188.0
189,189,non-word,fkvj,worn,odd,non-word,word,False,189.0
190,190,non-word,fkxj,eye,odd,non-word,word,False,190.0
191,191,non-word,fkxj,pub,odd,non-word,word,False,191.0
192,192,non-word,fkz,disc,odd,non-word,word,False,192.0
193,193,non-word,fkz,rank,odd,non-word,word,False,193.0
194,194,non-word,gkjv,mall,odd,non-word,word,False,194.0
195,195,non-word,gkjv,hero,odd,non-word,word,False,195.0
196,196,non-word,reed,gkpv,odd,word,non-word,False,196.0
197,197,non-word,mass,gkpv,odd,word,non-word,False,197.0
198,198,non-word,gktj,roof,odd,non-word,word,False,198.0
199,199,non-word,moon,gktj,odd,word,non-word,False,199.0
200,200,non-word,brow,hkj,odd,word,non-word,False,200.0
201,201,non-word,math,hkj,odd,word,non-word,False,201.0
202,202,non-word,fast,hkmv,odd,word,non-word,False,202.0
203,203,non-word,hkmv,reef,odd,non-word,word,False,203.0
204,204,non-word,beef,hkwj,odd,word,non-word,False,204.0
205,205,non-word,sock,hkwj,odd,word,non-word,False,205.0
206,206,non-word,hkzj,maps,odd,non-word,word,False,206.0
207,207,non-word,hkzj,poet,odd,non-word,word,False,207.0
208,208,non-word,bomb,jksj,odd,word,non-word,False,208.0
209,209,non-word,soil,jksj,odd,word,non-word,False,209.0
210,210,non-word,rye,jkwj,odd,word,non-word,False,210.0
211,211,non-word,cup,jkwj,odd,word,non-word,False,211.0
212,212,non-word,cool,jkzm,odd,word,non-word,False,212.0
213,213,non-word,jkzm,any,odd,non-word,word,False,
214,214,non-word,cap,jvbk,odd,word,non-word,False,214.0
215,215,non-word,sea,jvbk,odd,word,non-word,False,215.0
216,216,non-word,jvgk,safe,odd,non-word,word,False,216.0
217,217,non-word,his,jvgk,odd,word,non-word,False,217.0
218,218,non-word,jvw,fire,odd,non-word,word,False,219.0
219,219,non-word,jvw,nest,odd,non-word,word,False,218.0
220,220,non-word,low,jvwj,odd,word,non-word,False,221.0
221,221,non-word,wavy,jvwj,odd,word,non-word,False,220.0
222,222,non-word,cool,jvzk,odd,word,non-word,False,222.0
223,223,non-word,jvzk,our,odd,non-word,word,False,223.0
224,224,non-word,kkqv,fair,odd,non-word,word,False,
225,225,non-word,shy,kkqv,odd,word,non-word,False,224.0
226,226,non-word,bat,kkvj,odd,word,non-word,False,
227,227,non-word,tomb,kkvj,odd,word,non-word,False,227.0
228,228,non-word,flux,kkwj,odd,word,non-word,False,229.0
229,229,non-word,gold,kkwj,odd,word,non-word,False,228.0
230,230,non-word,soup,kkzj,odd,word,non-word,False,231.0
231,231,non-word,kkzj,clue,odd,non-word,word,False,230.0
232,232,non-word,vast,kvjk,odd,word,non-word,False,232.0
233,233,non-word,kvjk,tape,odd,non-word,word,False,233.0
234,234,non-word,kvtj,frog,odd,non-word,word,False,234.0
235,235,non-word,kvtj,aunt,odd,non-word,word,False,235.0
236,236,non-word,kvzk,bad,odd,non-word,word,False,236.0
237,237,non-word,kvzk,car,odd,non-word,word,False,237.0
238,238,non-word,rust,mkq,odd,word,non-word,False,238.0
239,239,non-word,copy,mkq,odd,word,non-word,False,239.0
240,240,non-word,mad,mkqv,odd,word,non-word,False,240.0
241,241,non-word,mkqv,weak,odd,non-word,word,False,241.0
242,242,non-word,mksj,wolf,odd,non-word,word,False,
243,243,non-word,mksj,gin,odd,non-word,word,False,243.0
244,244,non-word,fur,mktj,odd,word,non-word,False,244.0
245,245,non-word,lay,mktj,odd,word,non-word,False,245.0
246,246,non-word,mkxj,miss,odd,non-word,word,False,246.0
247,247,non-word,mkxj,mine,odd,non-word,word,False,247.0
248,248,non-word,mvhk,fan,odd,non-word,word,False,248.0
249,249,non-word,mvhk,fly,odd,non-word,word,False,249.0
250,250,non-word,mvxj,wood,odd,non-word,word,False,251.0
251,251,non-word,wry,mvxj,odd,word,non-word,False,
252,252,non-word,mvzk,icy,odd,non-word,word,False,253.0
253,253,non-word,mvzk,the,odd,non-word,word,False,252.0
254,254,non-word,horn,mvzm,odd,word,non-word,False,255.0
255,255,non-word,mvzm,rosy,odd,non-word,word,False,254.0
256,256,non-word,nut,pvkk,odd,word,non-word,False,257.0
257,257,non-word,dad,pvkk,odd,word,non-word,False,256.0
258,258,non-word,swan,pvsj,odd,word,non-word,False,258.0
259,259,non-word,bath,pvsj,odd,word,non-word,False,259.0
260,260,non-word,pvtk,fund,odd,non-word,word,False,260.0
261,261,non-word,pvtk,crab,odd,non-word,word,False,
262,262,non-word,monk,pvzk,odd,word,non-word,False,263.0
263,263,non-word,doll,pvzk,odd,word,non-word,False,262.0
264,264,non-word,qks,plan,odd,non-word,word,False,264.0
265,265,non-word,qks,axis,odd,non-word,word,False,265.0
266,266,non-word,owl,qktj,odd,word,non-word,False,267.0
267,267,non-word,qktj,monk,odd,non-word,word,False,266.0
268,268,non-word,qkwj,each,odd,non-word,word,False,268.0
269,269,non-word,qkwj,year,odd,non-word,word,False,269.0
270,270,non-word,qkzm,mat,odd,non-word,word,False,
271,271,non-word,tech,qkzm,odd,word,non-word,False,271.0
272,272,non-word,qvtj,rich,odd,non-word,word,False,272.0
273,273,non-word,qvtj,turf,odd,non-word,word,False,273.0
274,274,non-word,live,qvx,odd,word,non-word,False,274.0
275,275,non-word,feel,qvx,odd,word,non-word,False,275.0
276,276,non-word,posh,qvxj,odd,word,non-word,False,276.0
277,277,non-word,qvxj,such,odd,non-word,word,False,277.0
278,278,non-word,qvzk,bud,odd,non-word,word,False,
279,279,non-word,need,qvzk,odd,word,non-word,False,278.0
280,280,non-word,sjk,loan,odd,non-word,word,False,281.0
281,281,non-word,sjk,step,odd,non-word,word,False,280.0
282,282,non-word,sjkv,hall,odd,non-word,word,False,282.0
283,283,non-word,lip,sjkv,odd,word,non-word,False,283.0
284,284,non-word,hare,sjm,odd,word,non-word,False,285.0
285,285,non-word,lamb,sjm,odd,word,non-word,False,284.0
286,286,non-word,lone,sjmv,odd,word,non-word,False,286.0
287,287,non-word,sjmv,tiny,odd,non-word,word,False,287.0
288,288,non-word,tjkk,bass,odd,non-word,word,False,288.0
289,289,non-word,sly,tjkk,odd,word,non-word,False,289.0
290,290,non-word,hint,tjp,odd,word,non-word,False,290.0
291,291,non-word,bulk,tjp,odd,word,non-word,False,291.0
292,292,non-word,tjpv,lone,odd,non-word,word,False,292.0
293,293,non-word,keen,tjpv,odd,word,non-word,False,293.0
294,294,non-word,tjz,navy,odd,non-word,word,False,295.0
295,295,non-word,tjz,guns,odd,non-word,word,False,294.0
296,296,non-word,bell,tkqv,odd,word,non-word,False,296.0
297,297,non-word,tkqv,role,odd,non-word,word,False,297.0
298,298,non-word,tkwj,omen,odd,non-word,word,False,
299,299,non-word,tkwj,news,odd,non-word,word,False,299.0
300,300,non-word,tkxj,beak,odd,non-word,word,False,301.0
301,301,non-word,tkxj,hair,odd,non-word,word,False,300.0
302,302,non-word,vjbk,ripe,odd,non-word,word,False,
303,303,non-word,teal,vjbk,odd,word,non-word,False,302.0
304,304,non-word,ear,vjmk,odd,word,non-word,False,305.0
305,305,non-word,lake,vjmk,odd,word,non-word,False,304.0
306,306,non-word,ash,vkjv,odd,word,non-word,False,306.0
307,307,non-word,fate,vkjv,odd,word,non-word,False,307.0
308,308,non-word,lion,vkzj,odd,word,non-word,False,309.0
309,309,non-word,vkzj,beak,odd,non-word,word,False,308.0
310,310,non-word,wjgk,hen,odd,non-word,word,False,310.0
311,311,non-word,wjgk,bush,odd,non-word,word,False,311.0
312,312,non-word,prey,wjqk,odd,word,non-word,False,312.0
313,313,non-word,load,wjqk,odd,word,non-word,False,313.0
314,314,non-word,wjvk,rare,odd,non-word,word,False,315.0
315,315,non-word,wjvk,loud,odd,non-word,word,False,314.0
316,316,non-word,mug,xjbk,odd,word,non-word,False,317.0
317,317,non-word,knob,xjbk,odd,word,non-word,False,
318,318,non-word,bare,xjgk,odd,word,non-word,False,318.0
319,319,non-word,urge,xjgk,odd,word,non-word,False,319.0
320,320,non-word,doom,xjqk,odd,word,non-word,False,321.0
321,321,non-word,hand,xjqk,odd,word,non-word,False,320.0
322,322,non-word,xjtk,beer,odd,non-word,word,False,322.0
323,323,non-word,xjtk,area,odd,non-word,word,False,323.0
324,324,non-word,xkqv,disk,odd,non-word,word,False,325.0
325,325,non-word,xkqv,atom,odd,non-word,word,False,324.0
326,326,non-word,tank,xkvj,odd,word,non-word,False,327.0
327,327,non-word,eggs,xkvj,odd,word,non-word,False,326.0
328,328,non-word,film,xkwj,odd,word,non-word,False,328.0
329,329,non-word,weld,xkwj,odd,word,non-word,False,329.0
330,330,non-word,sons,xkzj,odd,word,non-word,False,331.0
331,331,non-word,noon,xkzj,odd,word,non-word,False,330.0
332,332,non-word,rap,zjmv,odd,word,non-word,False,332.0
333,333,non-word,sir,zjmv,odd,word,non-word,False,333.0
334,334,non-word,zjpv,poem,odd,non-word,word,False,334.0
335,335,non-word,zjpv,pond,odd,non-word,word,False,335.0
336,336,non-word,zjqv,pick,odd,non-word,word,False,337.0
337,337,non-word,zjqv,pipe,odd,non-word,word,False,336.0
338,338,non-word,zjv,sins,odd,non-word,word,False,338.0
339,339,non-word,zjv,wave,odd,non-word,word,False,339.0
340,340,non-word,ring,zjvk,odd,word,non-word,False,341.0
341,341,non-word,zjvk,soup,odd,non-word,word,False,340.0
342,342,non-word,raw,zkqv,odd,word,non-word,False,342.0
343,343,non-word,kind,zkqv,odd,word,non-word,False,343.0
344,344,non-word,zkwj,soft,odd,non-word,word,False,344.0
345,345,non-word,big,zkwj,odd,word,non-word,False,345.0
346,346,non-word,rock,zkxj,odd,word,non-word,False,347.0
347,347,non-word,seal,zkxj,odd,word,non-word,False,346.0
348,348,non-word,myth,zmjv,odd,word,non-word,False,349.0
349,349,non-word,zmjv,nice,odd,non-word,word,False,348.0
350,350,non-word,cat,zmqk,odd,word,non-word,False,350.0
351,351,non-word,bed,zmqk,odd,word,non-word,False,351.0
352,352,non-word,zmtk,real,odd,non-word,word,False,353.0
353,353,non-word,long,zmtk,odd,word,non-word,False,352.0
354,354,non-word,mkqv,full,odd,non-word,word,False,
355,355,non-word,wjgk,oak,odd,non-word,word,False,
356,356,non-word,sick,qvzk,odd,word,non-word,False,359.0
357,357,non-word,fin,qkzm,odd,word,non-word,False,
358,358,non-word,cell,sjkv,odd,word,non-word,False,
359,359,non-word,low,qvtj,odd,word,non-word,False,
360,0,phrase,any,lamp,odd,word,word,True,364.0
361,1,phrase,this,lord,odd,word,word,True,388.0
362,2,phrase,shy,crab,odd,word,word,True,385.0
363,3,phrase,data,sets,odd,word,word,True,
364,4,phrase,set,sail,odd,word,word,True,
365,5,phrase,that,ear,odd,word,word,True,368.0
366,6,phrase,pure,ink,odd,word,word,True,380.0
367,7,phrase,sun,shone,odd,word,word,True,
368,8,phrase,idle,ring,odd,word,word,True,379.0
369,9,phrase,soft,dew,odd,word,word,True,394.0
370,10,phrase,wavy,soup,odd,word,word,True,377.0
371,11,phrase,tall,van,odd,word,word,True,363.0
372,12,phrase,each,beer,odd,word,word,True,388.0
373,13,phrase,grand,jury,odd,word,word,True,
374,14,phrase,water,flow,odd,word,word,True,
375,15,phrase,dead,oven,odd,word,word,True,380.0
376,16,phrase,young,guys,odd,word,word,True,
377,17,phrase,safe,god,odd,word,word,True,365.0
378,18,phrase,posh,tomb,odd,word,word,True,393.0
379,19,phrase,rude,lip,odd,word,word,True,372.0
380,20,phrase,oily,poem,odd,word,word,True,367.0
381,21,phrase,sane,kiwi,odd,word,word,True,369.0
382,22,phrase,sour,monk,odd,word,word,True,374.0
383,23,phrase,peer,group,odd,word,word,True,
384,24,phrase,three,kinds,odd,word,word,True,
385,25,phrase,apt,toad,odd,word,word,True,370.0
386,26,phrase,lame,bowl,odd,word,word,True,374.0
387,27,phrase,two,feet,odd,word,word,True,
388,28,phrase,other,kids,odd,word,word,True,
389,29,phrase,five,hours,odd,word,word,True,
390,30,phrase,real,pine,odd,word,word,True,370.0
391,31,phrase,wary,game,odd,word,word,True,394.0
392,32,phrase,would,play,odd,word,word,True,
393,33,phrase,mild,hen,odd,word,word,True,365.0
394,34,phrase,old,town,odd,word,word,True,
395,35,phrase,odd,girl,odd,word,word,True,410.0
396,36,phrase,clear,sky,odd,word,word,True,
397,37,phrase,far,ahead,odd,word,word,True,
398,38,phrase,rural,areas,odd,word,word,True,
399,39,phrase,avid,fig,odd,word,word,True,361.0
400,40,phrase,next,beak,odd,word,word,True,383.0
401,41,phrase,each,beer,odd,word,word,True,388.0
402,42,phrase,best,thing,odd,word,word,True,
403,43,phrase,big,page,odd,word,word,True,417.0
404,44,phrase,black,box,odd,word,word,True,
405,45,phrase,dark,blue,odd,word,word,True,
406,46,phrase,most,cases,odd,word,word,True,
407,47,phrase,could,cause,odd,word,word,True,
408,48,phrase,blood,cells,odd,word,word,True,
409,49,phrase,cold,ash,odd,word,word,True,422.0
410,50,phrase,cool,aunt,odd,word,word,True,26.0
411,51,phrase,dark,blue,odd,word,word,True,
412,52,phrase,forty,days,odd,word,word,True,
413,53,phrase,great,deal,odd,word,word,True,
414,54,phrase,deep,blue,odd,word,word,True,
415,55,phrase,meek,disk,odd,word,word,True,80.0
416,56,phrase,glass,doors,odd,word,word,True,
417,57,phrase,final,draft,odd,word,word,True,
418,58,phrase,bile,duct,odd,word,word,True,
419,59,phrase,that,ear,odd,word,word,True,368.0
420,60,phrase,main,event,odd,word,word,True,
421,61,phrase,corn,field,odd,word,word,True,
422,62,phrase,final,draft,odd,word,word,True,
423,63,phrase,great,deal,odd,word,word,True,
424,64,phrase,off,guard,odd,word,word,True,
425,65,phrase,high,clot,odd,word,word,True,435.0
426,66,phrase,hind,legs,odd,word,word,True,
427,67,phrase,basic,idea,odd,word,word,True,
428,68,phrase,iron,ions,odd,word,word,True,
429,69,phrase,iron,ions,odd,word,word,True,
430,70,phrase,kind,girl,odd,word,word,True,
431,71,phrase,left,leg,odd,word,word,True,
432,72,phrase,lone,bean,odd,word,word,True,401.0
433,73,phrase,long,atom,odd,word,word,True,442.0
434,74,phrase,low,bird,odd,word,word,True,402.0
435,75,phrase,main,event,odd,word,word,True,
436,76,phrase,many,times,odd,word,word,True,
437,77,phrase,older,men,odd,word,word,True,
438,78,phrase,sour,monk,odd,word,word,True,374.0
439,79,phrase,much,hair,odd,word,word,True,60.0
440,80,phrase,nasal,nerve,odd,word,word,True,
441,81,phrase,new,users,odd,word,word,True,
442,82,phrase,late,night,odd,word,word,True,
443,83,phrase,see,note,odd,word,word,True,412.0
444,84,phrase,crude,oil,odd,word,word,True,
445,85,phrase,optic,nerve,odd,word,word,True,
446,86,phrase,rare,bell,odd,word,word,True,405.0
447,87,phrase,high,risk,odd,word,word,True,
448,88,phrase,shy,crab,odd,word,word,True,385.0
449,89,phrase,wavy,soup,odd,word,word,True,377.0
450,0,non-phrase,heard,have,odd,word,word,True,
451,1,non-phrase,hall,dual,odd,word,word,True,389.0
452,2,non-phrase,fig,avid,odd,word,word,True,361.0
453,3,non-phrase,lake,nice,odd,word,word,True,386.0
454,4,non-phrase,owl,such,odd,word,word,True,389.0
455,5,non-phrase,wars,civil,odd,word,word,True,
456,6,non-phrase,miles,fifty,odd,word,word,True,
457,7,non-phrase,clay,some,odd,word,word,True,377.0
458,8,non-phrase,forms,life,odd,word,word,True,
459,9,non-phrase,beans,green,odd,word,word,True,
460,10,non-phrase,lobe,wide,odd,word,word,True,382.0
461,11,non-phrase,pawn,the,odd,word,word,True,362.0
462,12,non-phrase,edge,bold,odd,word,word,True,366.0
463,13,non-phrase,lion,your,odd,word,word,True,384.0
464,14,non-phrase,neck,wry,odd,word,word,True,381.0
465,15,non-phrase,force,air,odd,word,word,True,
466,16,non-phrase,boy,small,odd,word,word,True,
467,17,non-phrase,smile,faint,odd,word,word,True,
468,18,non-phrase,mat,worn,odd,word,word,True,386.0
469,19,non-phrase,body,loud,odd,word,word,True,385.0
470,20,non-phrase,soap,true,odd,word,word,True,366.0
471,21,non-phrase,rates,tax,odd,word,word,True,
472,22,non-phrase,frog,lush,odd,word,word,True,392.0
473,23,non-phrase,law,local,odd,word,word,True,
474,24,non-phrase,cow,hard,odd,word,word,True,393.0
475,25,non-phrase,barn,foxy,odd,word,word,True,387.0
476,26,non-phrase,limit,upper,odd,word,word,True,
477,27,non-phrase,sign,good,odd,word,word,True,375.0
478,28,non-phrase,term,grim,odd,word,word,True,369.0
479,29,non-phrase,lives,daily,odd,word,word,True,
480,30,non-phrase,path,cute,odd,word,word,True,392.0
481,31,non-phrase,lot,awful,odd,word,word,True,
482,32,non-phrase,beak,next,odd,word,word,True,383.0
483,33,non-phrase,crow,her,odd,word,word,True,367.0
484,34,non-phrase,legs,hind,odd,word,word,True,
485,35,non-phrase,girl,wise,odd,word,word,True,
486,36,non-phrase,sky,night,odd,word,word,True,411.0
487,37,non-phrase,ahead,just,odd,word,word,True,
488,38,non-phrase,areas,urban,odd,word,word,True,
489,39,non-phrase,fig,avid,odd,word,word,True,361.0
490,40,non-phrase,beak,next,odd,word,word,True,383.0
491,41,non-phrase,beer,each,odd,word,word,True,388.0
492,42,non-phrase,time,best,odd,word,word,True,416.0
493,43,non-phrase,sky,big,odd,word,word,True,
494,44,non-phrase,porch,black,odd,word,word,True,
495,45,non-phrase,blue,deep,odd,word,word,True,
496,46,non-phrase,cases,rare,odd,word,word,True,
